year,month,avg_cost
2002,7,0.0
2002,8,0.0
2002,9,0.0
2002,10,0.0
2002,11,0.0
2002,12,0.0
2003,1,0.0
2003,2,0.0
2003,3,0.0
2003,4,0.0
2003,5,0.0
2003,6,0.0
2003,7,0.0
2003,8,0.0
2003,9,0.0
2003,10,0.0
2003,11,0.0
2003,12,0.0
2004,1,0.0
2004,2,0.0
2004,3,0.0
2004,4,0.0
2004,5,0.0
2004,6,0.0
2004,7,0.0
2004,8,0.0
2004,9,0.0
2004,10,0.0
2004,11,0.0
2004,12,0.0
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.034482758620689655
2005,6,0.17647058823529413
2005,7,0.1276595744680851
2005,8,0.045454545454545456
2005,9,0.25
2005,10,0.037037037037037035
2005,11,0.038461538461538464
2005,12,0.1320754716981132
2006,1,0.07142857142857142
2006,2,0.06666666666666667
2006,3,0.14285714285714285
2006,4,0.19718309859154928
2006,5,0.2638888888888889
2006,6,1.12
2006,7,0.2926829268292683
2006,8,0.2159090909090909
2006,9,0.18604651162790697
2006,10,0.3695652173913043
2006,11,0.1958762886597938
2006,12,0.34831460674157305
2007,1,0.21428571428571427
2007,2,0.12727272727272726
2007,3,0.18584070796460178
2007,4,1.1942446043165467
2007,5,1.16
2007,6,0.5311188811188812
2007,7,1.6338028169014085
2007,8,2.8773006134969323
2007,9,2.3846153846153846
2007,10,1.3068862275449102
2007,11,0.8461538461538461
2007,12,0.5632911392405063
2008,1,0.6
2008,2,0.6514285714285715
2008,3,1.5319148936170213
2008,4,1.5972222222222223
2008,5,2.589519650655022
2008,6,1.208695652173913
2008,7,0.7468354430379747
2008,8,0.5790598290598291
2008,9,0.59765625
2008,10,1.0721830985915493
2008,11,1.0934959349593496
2008,12,1.0160642570281124
2009,1,0.6931464174454829
2009,2,0.8671428571428571
2009,3,1.3932432432432433
2009,4,1.1123737373737375
2009,5,0.6988505747126437
2009,6,0.7675350701402806
2009,7,1.0433884297520661
2009,8,0.8370288248337029
2009,9,0.9980806142034548
2009,10,1.5393258426966292
2009,11,1.164969450101833
2009,12,1.0360135135135136
2010,1,2.00390625
2010,2,2.3839122486288846
2010,3,2.9404186795491145
2010,4,1.375776397515528
2010,5,1.9393491124260356
2010,6,1.0554744525547446
2010,7,1.1209459459459459
2010,8,0.860969387755102
2010,9,1.363336992316136
2010,10,1.6143011917659804
2010,11,3.481152993348115
2010,12,1.2363253856942495
2011,1,3.1774530271398747
2011,2,5.137566137566138
2011,3,3.0686517783291976
2011,4,3.8915555555555557
2011,5,2.9091666666666667
2011,6,1.7181372549019607
2011,7,1.4360857664233577
2011,8,2.0460584588131088
2011,9,2.772218073188947
2011,10,2.2944055944055943
2011,11,3.6055477031802123
2011,12,1.5359937402190924
2012,1,1.9486842105263156
2012,2,3.3281875357347057
2012,3,3.1097427476737822
2012,4,6.969889064976228
2012,5,6.414021790620559
2012,6,5.743456614509246
2012,7,2.46772591857001
2012,8,5.5890784499054815
2012,9,6.324591111111111
2012,10,4.129599345870809
2012,11,4.316141280353201
2012,12,3.3778493557978195
2013,1,3.127659574468085
2013,2,3.3567066766691673
2013,3,5.194863840055153
2013,4,3.8447163004263696
2013,5,3.7788069620253166
2013,6,5.238941104668905
2013,7,3.597298166613059
2013,8,4.469980842911878
2013,9,2.5601152141802066
2013,10,3.8753771661569827
2013,11,1.637494425863991
2013,12,1.1453309881675726
2014,1,3.934515235457064
2014,2,3.6767635903919085
2014,3,4.783109321058689
2014,4,7.131394535519125
2014,5,7.006662390421211
2014,6,28.455237685523766
2014,7,226.15028646981048
2014,8,4.681934051997463
2014,9,3.937163385826772
2014,10,3.743479542302358
2014,11,6.13674013706242
2014,12,2.840670498084291
2015,1,2.0141666666666667
2015,2,1.592702186740715
2015,3,1.9550235240552436
2015,4,1.4658068497377355
2015,5,1.7049624060150375
2015,6,1.4835097109649793
2015,7,2.952451490771415
2015,8,1.72475106685633
2015,9,1.5542480871100648
2015,10,1.4367671691792294
2015,11,1.5489582052858022
2015,12,1.0096252363761389
2016,1,1.279185499772486
2016,2,1.819137739516801
2016,3,1.6042324832879424
2016,4,2.100333621648338
2016,5,1.9898375203099612
2016,6,1.4423536064337774
2016,7,1.5503453333333332
2016,8,1.1324512012012011
2016,9,1.5687776456599287
2016,10,1.6282879739474296
2016,11,1.384587905077826
2016,12,1.2419397308367466
2017,1,1.4155453367875646
2017,2,1.6048190154440154
2017,3,1.8578389364974734
