year,month,is_online,is_offline
2042,11,0,1
2042,12,0,1
2043,1,0,1
2043,2,0,1
2043,3,0,1
2043,4,0,1
2043,5,0,1
2043,6,0,1
2043,7,0,1
2043,8,0,1
2043,9,0,1
2043,10,0,1
2043,11,0,1
2043,12,0,1
2044,1,0,1
2044,2,0,1
2044,3,0,1
2044,4,0,1
2044,5,0,1
2044,6,0,1
2044,7,0,1
2044,8,0,1
2044,9,0,1
2044,10,0,1
2044,11,0,1
2044,12,0,1
2045,1,0,1
2045,2,0,1
2045,3,0,1
2045,4,0,1
2045,5,0,1
2045,6,0,1
2045,7,0,1
2045,8,0,1
2045,9,0,1
2045,10,0,1
2045,11,0,1
2045,12,0,1
2046,1,0,1
2046,2,0,1
2046,3,0,1
2046,4,0,1
2046,5,0,1
2046,6,0,1
2046,7,0,1
2046,8,0,1
2046,9,0,1
2046,10,0,1
2046,11,0,1
2046,12,0,1
2047,1,0,1
2047,2,0,1
2047,3,0,1
2047,4,0,1
2047,5,0,1
2047,6,0,1
2047,7,0,1
2047,8,0,1
2047,9,0,1
2047,10,0,1
2047,11,0,1
2047,12,0,1
2048,1,0,1
2048,2,0,1
2048,3,0,1
2048,4,0,1
2048,5,0,1
2048,6,0,1
2048,7,0,2
2048,8,0,1
2048,9,0,1
2048,10,0,1
2048,11,0,1
2048,12,0,1
2049,1,0,1
2049,2,0,1
2049,3,0,1
2049,4,0,1
2049,5,0,1
2049,6,0,1
2049,7,0,1
2049,8,0,1
2049,9,0,1
2049,10,0,1
2049,11,0,1
2049,12,0,1
2050,1,0,1
2050,2,0,1
2050,3,0,1
2050,4,0,1
2050,5,0,1
2050,6,0,1
2050,7,0,1
2050,8,0,1
2050,9,0,1
2050,10,0,2
2050,11,0,1
2050,12,0,1
2051,1,0,1
2051,2,0,1
2051,3,0,1
2051,4,0,1
2051,5,0,1
2051,6,0,1
2051,7,0,1
2051,8,0,1
2051,9,0,1
2051,10,0,1
2051,11,0,1
2051,12,0,1
2052,1,0,1
2052,2,0,1
2052,3,0,1
2052,4,0,1
2052,5,0,1
2052,6,0,1
2052,7,0,1
2052,8,0,1
2052,9,0,1
2052,10,0,1
2052,11,0,1
2052,12,0,1
2053,1,0,1
2053,2,0,1
2053,3,0,1
2053,4,0,1
2053,5,0,1
2053,6,0,1
2053,7,0,1
2053,8,0,1
2053,9,0,1
2053,10,0,1
2053,11,0,1
2053,12,0,1
2054,1,0,1
2054,2,0,1
2054,3,0,1
2054,4,0,1
2054,5,0,1
2054,6,0,1
2054,7,0,1
2054,8,0,1
2054,9,0,1
2054,10,0,1
2054,11,0,1
2054,12,0,1
2055,1,0,1
2055,2,0,1
2055,3,0,1
2055,4,0,1
2055,5,0,1
2055,6,0,1
2055,7,0,1
2055,8,0,1
2055,9,0,1
2055,10,0,1
2055,11,0,1
2055,12,0,1
2056,1,0,1
2056,2,0,1
2056,3,0,1
2056,4,0,1
2056,5,0,1
2065,5,0,1
2123,9,0,1
2322,2,"",""
6996,12,"",""
7100,3,"",""
